mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_scale_pos_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
13.035485982894897,0.2604787410915048,0.1401085376739502,0.013768683585786215,0.9,0.01,5,100,10,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'scale_pos_weight': 10, 'subsample': 0.9}",0.6609730848861283,0.6621866115275264,0.6520051746442432,0.6659652814308259,0.6510416666666666,0.6584343638310781,0.005886011081026943,42
13.657441091537475,0.33808390893459656,0.140889310836792,0.012016214564022142,0.9,0.01,5,100,10,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'scale_pos_weight': 10, 'subsample': 0.8}",0.6618219569166884,0.6685848809835209,0.6555236354139462,0.6623139200835726,0.6534343170540612,0.6603357420903577,0.005384354248344488,40
12.667817783355712,0.347514569659124,0.13226923942565919,0.011537427600819357,0.9,0.01,5,100,1,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 0.9}",0.712241653418124,0.7278382581648523,0.7372488408037096,0.7442040185471407,0.745958429561201,0.7334982400990053,0.012392053034725608,20
13.370352029800415,0.25671979298032277,0.13268661499023438,0.00790387277203814,0.9,0.01,5,100,1,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 0.8}",0.7142857142857142,0.7276264591439688,0.7363530778164925,0.7452647854657903,0.7457627118644068,0.7338585497152745,0.0118318958798542,19
26.443757629394533,0.41717268145129216,0.26891937255859377,0.042222303724700996,0.9,0.01,5,200,10,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 10, 'subsample': 0.9}",0.663551401869159,0.665625,0.6581818181818181,0.665267576075551,0.6596361718955971,0.662452393604425,0.00301222250195366,39
28.156758117675782,0.522279831028351,0.2467411518096924,0.019876129179940683,0.9,0.01,5,200,10,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 10, 'subsample': 0.8}",0.6670159811370185,0.66476388168137,0.6568170036288233,0.6652708714996074,0.660332541567696,0.6628400559029031,0.003731302949093334,38
25.543084859848022,0.3952541945921724,0.23216285705566406,0.01740423105968085,0.9,0.01,5,200,1,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 1, 'subsample': 0.9}",0.7274835717046771,0.7433155080213903,0.7378565921356978,0.7468109779667569,0.7498069498069497,0.7410547199270944,0.007864493406968362,18
26.836164474487305,0.24633605026689112,0.26531023979187013,0.027371264357367094,0.9,0.01,5,200,1,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'scale_pos_weight': 1, 'subsample': 0.8}",0.7289575289575289,0.7432070417145044,0.7398843930635838,0.7478731631863883,0.7458154924094978,0.7411475238663006,0.006655182095959685,17
8.185892248153687,0.06882095434569074,0.09082417488098145,0.006070137196980584,0.9,0.01,3,100,10,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'scale_pos_weight': 10, 'subsample': 0.9}",0.6443193449334699,0.6435897435897435,0.636409994900561,0.6544421487603306,0.6480271753331591,0.6453576815034527,0.005897772214844987,62
8.60747184753418,0.12513014936492095,0.09132728576660157,0.007633170913743585,0.9,0.01,3,100,10,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'scale_pos_weight': 10, 'subsample': 0.8}",0.6450950179763739,0.6435897435897435,0.636409994900561,0.6522633744855967,0.651175072616847,0.6457066407138244,0.005730226250612976,61
8.031740045547485,0.08940490743688127,0.09737157821655273,0.010209965041981624,0.9,0.01,3,100,1,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 0.9}",0.713016608729239,0.7207966296438146,0.7250384024577572,0.7405136067458796,0.7321981424148607,0.7263126779983102,0.009435476610138466,23
8.540658473968506,0.14925495645701461,0.09769630432128906,0.006583329047697917,0.9,0.01,3,100,1,0.8,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 0.8}",0.713016608729239,0.7207966296438146,0.7250384024577572,0.7405136067458796,0.7321981424148607,0.7263126779983102,0.009435476610138466,23
15.378516054153442,0.2775902982663039,0.14927735328674316,0.00964628312217304,0.9,0.01,3,200,10,0.9,"{'colsample_bytree': 0.9, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 10, 'subsample': 0.9}",0.6411943319838057,0.6394108684611477,0.6301026796894564,0.65851755526658,0.6447606727037516,0.6427972216209483,0.009232248565183846,64
